model,event_index,year,draw_number,drawing_no,predicted_top6,actual_numbers,matched_numbers,hit_count
frequency_baseline,8271,2012,37,1,4 44 49 25 28 17,4 10 15 25 33 45,4 25,2
frequency_baseline,8272,2012,37,2,4 44 49 25 28 17,2 6 18 27 31 39,,0
frequency_baseline,8273,2012,38,1,4 44 49 25 28 6,2 3 12 15 31 48,,0
frequency_baseline,8274,2012,38,2,4 44 49 25 28 6,3 20 30 32 37 48,,0
frequency_baseline,8275,2012,39,1,4 44 49 25 28 6,14 18 27 29 31 39,,0
frequency_baseline,8276,2012,39,2,4 44 49 25 28 6,4 15 17 23 28 48,4 28,2
frequency_baseline,8277,2012,40,1,4 44 49 25 28 17,21 23 29 30 43 44,44,1
frequency_baseline,8278,2012,40,2,4 44 49 25 28 17,1 10 11 39 46 47,,0
frequency_baseline,8279,2012,41,1,4 44 49 25 28 17,11 15 27 30 31 43,,0
frequency_baseline,8280,2012,41,2,4 44 49 25 28 17,3 6 12 29 48 49,49,1
frequency_baseline,8281,2012,42,1,4 44 49 25 28 6,1 4 5 7 16 35,4,1
frequency_baseline,8282,2012,42,2,4 44 49 25 28 6,8 36 38 41 43 46,,0
frequency_baseline,8283,2012,43,1,4 44 49 25 28 6,9 19 21 33 43 47,,0
frequency_baseline,8284,2012,43,2,4 44 49 25 28 6,1 4 17 29 30 39,4,1
frequency_baseline,8285,2012,44,1,4 44 49 25 28 17,16 18 34 39 40 41,,0
frequency_baseline,8286,2012,44,2,4 44 49 25 28 17,14 25 29 31 38 39,25,1
frequency_baseline,8287,2012,45,1,4 44 49 25 28 17,5 11 12 18 40 47,,0
frequency_baseline,8288,2012,45,2,4 44 49 25 28 17,2 7 8 13 31 44,44,1
frequency_baseline,8289,2012,46,1,4 44 49 25 28 17,7 10 23 37 40 43,,0
frequency_baseline,8290,2012,46,2,4 44 49 25 28 17,1 7 21 23 35 47,,0
frequency_baseline,8291,2012,47,1,4 44 49 25 28 17,1 16 21 22 43 49,49,1
frequency_baseline,8292,2012,47,2,4 44 49 25 28 1,7 17 19 36 40 41,,0
frequency_baseline,8293,2012,48,1,4 44 49 25 28 17,5 7 22 24 30 34,,0
frequency_baseline,8294,2012,48,2,4 44 49 25 28 17,3 4 21 27 28 34,4 28,2
frequency_baseline,8295,2012,49,1,4 44 49 25 28 17,2 5 21 22 33 46,,0
frequency_baseline,8296,2012,49,2,4 44 49 25 28 21,18 26 28 30 31 47,28,1
frequency_baseline,8297,2012,50,1,4 44 49 25 28 21,1 6 10 30 31 32,,0
frequency_baseline,8298,2012,50,2,4 44 49 25 28 21,1 24 25 31 44 49,25 44 49,3
frequency_baseline,8299,2012,51,1,4 44 49 25 28 1,11 13 19 34 36 40,,0
frequency_baseline,8300,2012,51,2,4 44 49 25 28 1,9 18 19 25 26 41,25,1
frequency_baseline,8301,2012,52,1,4 44 49 25 28 1,4 29 38 45 47 48,4,1
frequency_baseline,8302,2012,52,2,4 44 49 25 28 1,6 22 23 30 38 49,49,1
frequency_baseline,8303,2012,53,1,4 44 49 25 28 1,18 21 23 24 38 48,,0
frequency_baseline,8304,2012,53,2,4 44 49 25 28 21,4 11 19 22 24 32,4,1
frequency_baseline,8305,2012,54,1,4 44 49 25 28 21,6 10 19 29 34 36,,0
frequency_baseline,8306,2012,54,2,4 44 49 25 28 21,1 3 9 13 19 21,21,1
frequency_baseline,8307,2012,55,1,4 44 49 25 28 21,10 15 17 20 40 43,,0
frequency_baseline,8308,2012,55,2,4 44 49 25 28 21,5 13 27 39 42 47,,0
frequency_baseline,8309,2012,56,1,4 44 49 25 28 21,13 17 18 21 47 49,21 49,2
