number_a,number_b,r_pair_count,r_pair_score
11,45,137.0,0.6164383561643836
11,48,137.0,0.6164383561643836
14,23,137.0,0.6164383561643836
14,26,137.0,0.6164383561643836
15,34,137.0,0.6164383561643836
16,49,137.0,0.6164383561643836
17,37,137.0,0.6164383561643836
17,46,137.0,0.6164383561643836
18,34,137.0,0.6164383561643836
20,49,137.0,0.6164383561643836
22,49,137.0,0.6164383561643836
23,42,137.0,0.6164383561643836
26,37,137.0,0.6164383561643836
29,42,137.0,0.6164383561643836
30,33,137.0,0.6164383561643836
36,42,137.0,0.6164383561643836
37,48,137.0,0.6164383561643836
39,43,137.0,0.6164383561643836
39,49,137.0,0.6164383561643836
4,15,137.0,0.6164383561643836
4,28,137.0,0.6164383561643836
5,27,137.0,0.6164383561643836
5,45,137.0,0.6164383561643836
6,40,137.0,0.6164383561643836
8,34,137.0,0.6164383561643836
8,38,137.0,0.6164383561643836
9,38,137.0,0.6164383561643836
1,29,136.0,0.6027397260273972
10,35,136.0,0.6027397260273972
10,44,136.0,0.6027397260273972
10,49,136.0,0.6027397260273972
11,26,136.0,0.6027397260273972
11,37,136.0,0.6027397260273972
12,17,136.0,0.6027397260273972
14,44,136.0,0.6027397260273972
15,26,136.0,0.6027397260273972
2,22,136.0,0.6027397260273972
2,42,136.0,0.6027397260273972
20,25,136.0,0.6027397260273972
21,22,136.0,0.6027397260273972
21,47,136.0,0.6027397260273972
22,26,136.0,0.6027397260273972
22,36,136.0,0.6027397260273972
22,37,136.0,0.6027397260273972
22,44,136.0,0.6027397260273972
23,28,136.0,0.6027397260273972
25,29,136.0,0.6027397260273972
25,38,136.0,0.6027397260273972
26,28,136.0,0.6027397260273972
28,29,136.0,0.6027397260273972
29,37,136.0,0.6027397260273972
32,39,136.0,0.6027397260273972
33,47,136.0,0.6027397260273972
4,19,136.0,0.6027397260273972
4,20,136.0,0.6027397260273972
4,8,136.0,0.6027397260273972
42,49,136.0,0.6027397260273972
45,46,136.0,0.6027397260273972
47,48,136.0,0.6027397260273972
5,20,136.0,0.6027397260273972
6,11,136.0,0.6027397260273972
6,13,136.0,0.6027397260273972
6,8,136.0,0.6027397260273972
7,14,136.0,0.6027397260273972
8,25,136.0,0.6027397260273972
10,48,135.0,0.589041095890411
12,21,135.0,0.589041095890411
13,23,135.0,0.589041095890411
13,46,135.0,0.589041095890411
14,31,135.0,0.589041095890411
14,36,135.0,0.589041095890411
15,36,135.0,0.589041095890411
18,21,135.0,0.589041095890411
19,27,135.0,0.589041095890411
2,29,135.0,0.589041095890411
2,40,135.0,0.589041095890411
20,38,135.0,0.589041095890411
21,38,135.0,0.589041095890411
23,34,135.0,0.589041095890411
23,45,135.0,0.589041095890411
25,45,135.0,0.589041095890411
27,36,135.0,0.589041095890411
28,35,135.0,0.589041095890411
28,49,135.0,0.589041095890411
3,4,135.0,0.589041095890411
30,46,135.0,0.589041095890411
30,48,135.0,0.589041095890411
32,37,135.0,0.589041095890411
34,49,135.0,0.589041095890411
39,45,135.0,0.589041095890411
4,16,135.0,0.589041095890411
4,21,135.0,0.589041095890411
43,48,135.0,0.589041095890411
46,48,135.0,0.589041095890411
6,46,135.0,0.589041095890411
7,34,135.0,0.589041095890411
7,49,135.0,0.589041095890411
8,46,135.0,0.589041095890411
9,14,135.0,0.589041095890411
9,22,135.0,0.589041095890411
1,33,134.0,0.5753424657534246
11,43,134.0,0.5753424657534246
11,49,134.0,0.5753424657534246
12,27,134.0,0.5753424657534246
12,31,134.0,0.5753424657534246
12,43,134.0,0.5753424657534246
13,17,134.0,0.5753424657534246
13,42,134.0,0.5753424657534246
14,48,134.0,0.5753424657534246
17,24,134.0,0.5753424657534246
17,34,134.0,0.5753424657534246
18,31,134.0,0.5753424657534246
19,23,134.0,0.5753424657534246
2,25,134.0,0.5753424657534246
2,9,134.0,0.5753424657534246
20,28,134.0,0.5753424657534246
20,44,134.0,0.5753424657534246
22,46,134.0,0.5753424657534246
24,34,134.0,0.5753424657534246
26,32,134.0,0.5753424657534246
27,49,134.0,0.5753424657534246
28,42,134.0,0.5753424657534246
29,35,134.0,0.5753424657534246
3,15,134.0,0.5753424657534246
3,28,134.0,0.5753424657534246
3,44,134.0,0.5753424657534246
33,39,134.0,0.5753424657534246
38,40,134.0,0.5753424657534246
39,46,134.0,0.5753424657534246
41,45,134.0,0.5753424657534246
44,47,134.0,0.5753424657534246
5,48,134.0,0.5753424657534246
7,8,134.0,0.5753424657534246
8,14,134.0,0.5753424657534246
8,28,134.0,0.5753424657534246
8,39,134.0,0.5753424657534246
8,48,134.0,0.5753424657534246
9,36,134.0,0.5753424657534246
1,25,133.0,0.5616438356164384
1,8,133.0,0.5616438356164384
10,21,133.0,0.5616438356164384
10,47,133.0,0.5616438356164384
11,27,133.0,0.5616438356164384
12,15,133.0,0.5616438356164384
12,26,133.0,0.5616438356164384
12,48,133.0,0.5616438356164384
12,49,133.0,0.5616438356164384
13,16,133.0,0.5616438356164384
13,36,133.0,0.5616438356164384
14,21,133.0,0.5616438356164384
14,35,133.0,0.5616438356164384
15,17,133.0,0.5616438356164384
15,25,133.0,0.5616438356164384
17,31,133.0,0.5616438356164384
18,46,133.0,0.5616438356164384
19,33,133.0,0.5616438356164384
2,31,133.0,0.5616438356164384
20,29,133.0,0.5616438356164384
23,27,133.0,0.5616438356164384
25,33,133.0,0.5616438356164384
27,44,133.0,0.5616438356164384
28,37,133.0,0.5616438356164384
29,38,133.0,0.5616438356164384
3,26,133.0,0.5616438356164384
32,36,133.0,0.5616438356164384
34,37,133.0,0.5616438356164384
35,40,133.0,0.5616438356164384
41,43,133.0,0.5616438356164384
