group,n1,n2,n3,count,recent_count,last_seen_index,gap,frequency_score,recency_score,overdue_score,group_score
26-41-47,26,41,47,8,1,9970,88,0.32,0.25,0.008749,0.399688
10-38-47,10,38,47,8,1,9970,88,0.32,0.25,0.008749,0.399688
8-19-28,8,19,28,8,1,9969,89,0.32,0.25,0.008849,0.399673
8-15-19,8,15,19,8,1,9969,89,0.32,0.25,0.008849,0.399673
2-9-48,2,9,48,8,1,9968,90,0.32,0.25,0.008948,0.399658
15-37-47,15,37,47,8,1,9967,91,0.32,0.25,0.009048,0.399643
14-15-37,14,15,37,8,1,9967,91,0.32,0.25,0.009048,0.399643
18-22-33,18,22,33,8,1,9966,92,0.32,0.25,0.009147,0.399628
25-26-46,25,26,46,12,0,9094,964,0.48,0.0,0.095844,0.399623
22-25-49,22,25,49,12,0,9094,964,0.48,0.0,0.095844,0.399623
17-22-26,17,22,26,12,0,9094,964,0.48,0.0,0.095844,0.399623
22-26-49,22,26,49,12,0,9094,964,0.48,0.0,0.095844,0.399623
4-22-29,4,22,29,8,1,9965,93,0.32,0.25,0.009246,0.399613
4-29-30,4,29,30,8,1,9965,93,0.32,0.25,0.009246,0.399613
11-13-45,11,13,45,12,0,9093,965,0.48,0.0,0.095944,0.399608
10-15-30,10,15,30,8,1,9964,94,0.32,0.25,0.009346,0.399598
13-35-39,13,35,39,12,0,9092,966,0.48,0.0,0.096043,0.399594
1-7-28,1,7,28,12,0,9091,967,0.48,0.0,0.096142,0.399579
12-36-39,12,36,39,8,1,9962,96,0.32,0.25,0.009545,0.399568
5-16-18,5,16,18,8,1,9961,97,0.32,0.25,0.009644,0.399553
10-19-24,10,19,24,8,1,9961,97,0.32,0.25,0.009644,0.399553
1-10-39,1,10,39,12,0,9089,969,0.48,0.0,0.096341,0.399549
6-29-46,6,29,46,8,1,9960,98,0.32,0.25,0.009743,0.399538
6-27-46,6,27,46,8,1,9960,98,0.32,0.25,0.009743,0.399538
19-40-42,19,40,42,12,0,9086,972,0.48,0.0,0.096639,0.399504
5-8-29,5,8,29,8,1,9957,101,0.32,0.25,0.010042,0.399494
20-30-33,20,30,33,12,0,9085,973,0.48,0.0,0.096739,0.399489
14-34-43,14,34,43,8,1,9956,102,0.32,0.25,0.010141,0.399479
8-29-34,8,29,34,12,0,9084,974,0.48,0.0,0.096838,0.399474
7-18-35,7,18,35,12,0,9083,975,0.48,0.0,0.096938,0.399459
18-23-29,18,23,29,8,1,9954,104,0.32,0.25,0.01034,0.399449
6-18-20,6,18,20,8,1,9954,104,0.32,0.25,0.01034,0.399449
2-13-27,2,13,27,8,1,9953,105,0.32,0.25,0.010439,0.399434
2-27-43,2,27,43,8,1,9953,105,0.32,0.25,0.010439,0.399434
35-38-49,35,38,49,12,0,9081,977,0.48,0.0,0.097137,0.39943
9-39-48,9,39,48,8,1,9952,106,0.32,0.25,0.010539,0.399419
9-22-39,9,22,39,8,1,9952,106,0.32,0.25,0.010539,0.399419
1-22-23,1,22,23,8,1,9951,107,0.32,0.25,0.010638,0.399404
14-19-44,14,19,44,12,0,9079,979,0.48,0.0,0.097335,0.3994
14-18-19,14,18,19,12,0,9079,979,0.48,0.0,0.097335,0.3994
5-12-33,5,12,33,8,1,9950,108,0.32,0.25,0.010738,0.399389
3-6-30,3,6,30,12,0,9078,980,0.48,0.0,0.097435,0.399385
27-32-39,27,32,39,8,1,9949,109,0.32,0.25,0.010837,0.399374
1-15-39,1,15,39,8,1,9949,109,0.32,0.25,0.010837,0.399374
15-27-39,15,27,39,8,1,9949,109,0.32,0.25,0.010837,0.399374
1-15-32,1,15,32,8,1,9949,109,0.32,0.25,0.010837,0.399374
27-32-43,27,32,43,12,0,9077,981,0.48,0.0,0.097534,0.39937
7-27-49,7,27,49,8,1,9947,111,0.32,0.25,0.011036,0.399345
7-27-33,7,27,33,8,1,9947,111,0.32,0.25,0.011036,0.399345
5-20-38,5,20,38,13,0,7600,2458,0.52,0.0,0.244383,0.399343
10-21-29,10,21,29,8,1,9946,112,0.32,0.25,0.011135,0.39933
18-31-49,18,31,49,12,0,9074,984,0.48,0.0,0.097833,0.399325
13-44-49,13,44,49,12,0,9074,984,0.48,0.0,0.097833,0.399325
3-11-25,3,11,25,8,1,9945,113,0.32,0.25,0.011235,0.399315
16-32-35,16,32,35,8,1,9944,114,0.32,0.25,0.011334,0.3993
28-35-47,28,35,47,12,0,9072,986,0.48,0.0,0.098031,0.399295
2-14-42,2,14,42,8,1,9943,115,0.32,0.25,0.011434,0.399285
2-11-33,2,11,33,8,1,9942,116,0.32,0.25,0.011533,0.39927
11-19-33,11,19,33,8,1,9942,116,0.32,0.25,0.011533,0.39927
19-22-35,19,22,35,8,1,9941,117,0.32,0.25,0.011633,0.399255
22-46-48,22,46,48,8,1,9941,117,0.32,0.25,0.011633,0.399255
17-20-22,17,20,22,12,0,9069,989,0.48,0.0,0.09833,0.399251
15-19-24,15,19,24,8,1,9940,118,0.32,0.25,0.011732,0.39924
13-15-16,13,15,16,12,0,9067,991,0.48,0.0,0.098529,0.399221
4-16-44,4,16,44,12,0,9067,991,0.48,0.0,0.098529,0.399221
14-20-45,14,20,45,12,0,9066,992,0.48,0.0,0.098628,0.399206
20-29-36,20,29,36,12,0,9066,992,0.48,0.0,0.098628,0.399206
8-16-46,8,16,46,8,1,9937,121,0.32,0.25,0.01203,0.399195
3-12-19,3,12,19,8,1,9935,123,0.32,0.25,0.012229,0.399166
27-33-42,27,33,42,12,0,9063,995,0.48,0.0,0.098926,0.399161
3-4-27,3,4,27,12,0,9062,996,0.48,0.0,0.099026,0.399146
5-23-46,5,23,46,12,0,9061,997,0.48,0.0,0.099125,0.399131
2-44-47,2,44,47,8,1,9932,126,0.32,0.25,0.012527,0.399121
2-39-47,2,39,47,8,1,9932,126,0.32,0.25,0.012527,0.399121
4-28-30,4,28,30,12,0,9060,998,0.48,0.0,0.099224,0.399116
14-17-28,14,17,28,13,0,7584,2474,0.52,0.0,0.245973,0.399104
11-22-47,11,22,47,8,1,9930,128,0.32,0.25,0.012726,0.399091
11-41-47,11,41,47,8,1,9930,128,0.32,0.25,0.012726,0.399091
7-26-33,7,26,33,12,0,9058,1000,0.48,0.0,0.099423,0.399086
6-33-35,6,33,35,8,1,9929,129,0.32,0.25,0.012826,0.399076
29-42-48,29,42,48,12,0,9057,1001,0.48,0.0,0.099523,0.399072
6-33-42,6,33,42,12,0,9057,1001,0.48,0.0,0.099523,0.399072
26-40-41,26,40,41,8,1,9928,130,0.32,0.25,0.012925,0.399061
8-29-40,8,29,40,8,1,9928,130,0.32,0.25,0.012925,0.399061
