draw_event_id,source_draw_id,date,year,draw_number,drawing_no,n1,n2,n3,n4,n5,n6,bonus_number,source_url,rules_version,data_status
1960-016-1,121,,1960,16,1,6,17,18,23,42,49,,raw:bst_649_1960.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1960-017-1,122,,1960,17,1,4,10,12,25,27,33,,raw:bst_649_1960.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1960-018-1,123,,1960,18,1,3,5,6,16,44,49,,raw:bst_649_1960.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1960-019-1,124,,1960,19,1,12,16,21,39,41,49,,raw:bst_649_1960.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1960-020-1,125,,1960,20,1,3,5,11,12,19,30,,raw:bst_649_1960.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1960-021-1,126,,1960,21,1,3,4,23,25,44,48,,raw:bst_649_1960.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1960-022-1,127,,1960,22,1,5,24,26,35,41,44,,raw:bst_649_1960.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1960-023-1,128,,1960,23,1,1,2,5,29,38,39,,raw:bst_649_1960.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1960-024-1,129,,1960,24,1,1,11,25,26,34,46,,raw:bst_649_1960.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1960-025-1,130,,1960,25,1,9,13,16,34,38,41,,raw:bst_649_1960.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1960-026-1,131,,1960,26,1,6,30,39,40,44,46,,raw:bst_649_1960.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1960-027-1,132,,1960,27,1,1,13,16,17,25,35,,raw:bst_649_1960.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1960-028-1,133,,1960,28,1,4,6,20,22,38,40,,raw:bst_649_1960.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1960-029-1,134,,1960,29,1,12,15,19,25,35,45,,raw:bst_649_1960.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1960-030-1,135,,1960,30,1,1,14,19,25,28,39,,raw:bst_649_1960.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1960-031-1,136,,1960,31,1,6,7,21,27,36,39,,raw:bst_649_1960.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1960-032-1,137,,1960,32,1,12,14,22,28,29,34,,raw:bst_649_1960.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1960-033-1,138,,1960,33,1,4,5,17,21,30,47,,raw:bst_649_1960.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1960-034-1,139,,1960,34,1,20,21,23,28,34,44,,raw:bst_649_1960.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1960-035-1,140,,1960,35,1,13,18,36,37,41,43,,raw:bst_649_1960.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1960-036-1,141,,1960,36,1,14,16,21,23,32,47,,raw:bst_649_1960.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1960-037-1,142,,1960,37,1,4,7,11,16,22,33,,raw:bst_649_1960.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1960-038-1,143,,1960,38,1,4,6,7,17,20,25,,raw:bst_649_1960.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1960-039-1,144,,1960,39,1,5,8,17,25,32,45,,raw:bst_649_1960.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1960-040-1,145,,1960,40,1,12,14,22,30,36,40,,raw:bst_649_1960.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1960-041-1,146,,1960,41,1,14,23,31,40,47,49,,raw:bst_649_1960.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1960-042-1,147,,1960,42,1,14,20,23,27,38,45,,raw:bst_649_1960.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1960-043-1,148,,1960,43,1,16,26,28,33,37,49,,raw:bst_649_1960.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1960-044-1,149,,1960,44,1,1,4,7,28,35,39,,raw:bst_649_1960.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1960-045-1,150,,1960,45,1,14,17,22,29,31,45,,raw:bst_649_1960.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1960-046-1,151,,1960,46,1,6,11,20,24,35,43,,raw:bst_649_1960.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1960-047-1,152,,1960,47,1,14,26,27,28,29,45,,raw:bst_649_1960.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1960-048-1,153,,1960,48,1,3,9,11,19,20,31,,raw:bst_649_1960.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1960-049-1,154,,1960,49,1,17,23,34,35,38,47,,raw:bst_649_1960.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1960-050-1,155,,1960,50,1,1,4,25,29,33,34,,raw:bst_649_1960.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1960-051-1,156,,1960,51,1,5,12,18,25,36,38,,raw:bst_649_1960.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1960-052-1,157,,1960,52,1,4,10,18,19,25,31,,raw:bst_649_1960.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1961-001-1,158,,1961,1,1,14,17,22,31,42,48,,raw:bst_649_1961.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1961-002-1,159,,1961,2,1,5,6,9,24,26,36,,raw:bst_649_1961.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1961-003-1,160,,1961,3,1,16,21,24,28,45,49,,raw:bst_649_1961.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1961-004-1,161,,1961,4,1,7,11,25,27,36,40,,raw:bst_649_1961.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1961-005-1,162,,1961,5,1,17,28,30,39,40,47,,raw:bst_649_1961.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1961-006-1,163,,1961,6,1,2,5,17,20,40,48,,raw:bst_649_1961.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1961-007-1,164,,1961,7,1,11,29,30,42,45,48,,raw:bst_649_1961.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1961-008-1,165,,1961,8,1,1,20,27,28,37,42,,raw:bst_649_1961.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1961-009-1,166,,1961,9,1,3,23,27,28,38,40,,raw:bst_649_1961.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1961-010-1,167,,1961,10,1,3,24,33,41,42,47,,raw:bst_649_1961.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1961-011-1,168,,1961,11,1,4,10,21,41,42,47,,raw:bst_649_1961.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1961-012-1,169,,1961,12,1,6,10,11,21,26,48,,raw:bst_649_1961.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1961-013-1,170,,1961,13,1,11,22,24,32,34,45,,raw:bst_649_1961.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1961-014-1,171,,1961,14,1,16,22,24,25,37,43,,raw:bst_649_1961.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1961-015-1,172,,1961,15,1,3,6,12,14,38,40,,raw:bst_649_1961.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1961-016-1,173,,1961,16,1,4,19,30,35,42,49,,raw:bst_649_1961.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1961-017-1,174,,1961,17,1,6,23,29,34,35,39,,raw:bst_649_1961.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1961-018-1,175,,1961,18,1,3,13,27,35,36,37,,raw:bst_649_1961.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1961-019-1,176,,1961,19,1,3,5,29,38,40,45,,raw:bst_649_1961.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1961-020-1,177,,1961,20,1,5,15,16,34,38,49,,raw:bst_649_1961.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1961-021-1,178,,1961,21,1,12,18,23,31,36,45,,raw:bst_649_1961.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
1961-022-1,179,,1961,22,1,24,25,33,37,40,41,,raw:bst_649_1961.txt,legacy_v39_known_draw_position,known_from_v39_dataset_bonus_missing
