draw_id,date,n1,n2,n3,n4,n5,n6,year,draw_number,draw_position,source_url,draw_no,bonus_number,source
205,,2,9,10,13,14,31,1961,48,1,raw:bst_649_1961.txt,48,,
206,,3,11,12,18,20,43,1961,49,1,raw:bst_649_1961.txt,49,,
207,,5,7,15,16,31,47,1961,50,1,raw:bst_649_1961.txt,50,,
208,,1,3,9,11,21,35,1961,51,1,raw:bst_649_1961.txt,51,,
209,,16,30,37,41,46,47,1961,52,1,raw:bst_649_1961.txt,52,,
210,,5,10,14,17,22,26,1961,53,1,raw:bst_649_1961.txt,53,,
211,,15,27,29,40,43,47,1962,1,1,raw:bst_649_1962.txt,1,,
212,,2,14,21,43,45,49,1962,2,1,raw:bst_649_1962.txt,2,,
213,,1,9,12,19,47,48,1962,3,1,raw:bst_649_1962.txt,3,,
214,,2,12,23,35,36,41,1962,4,1,raw:bst_649_1962.txt,4,,
215,,14,15,24,34,36,49,1962,5,1,raw:bst_649_1962.txt,5,,
216,,4,10,15,26,36,49,1962,6,1,raw:bst_649_1962.txt,6,,
217,,10,13,39,42,43,44,1962,7,1,raw:bst_649_1962.txt,7,,
218,,13,14,16,19,26,37,1962,8,1,raw:bst_649_1962.txt,8,,
219,,1,9,21,29,36,38,1962,9,1,raw:bst_649_1962.txt,9,,
220,,1,4,8,9,25,38,1962,10,1,raw:bst_649_1962.txt,10,,
221,,6,7,11,17,36,39,1962,11,1,raw:bst_649_1962.txt,11,,
222,,4,8,10,20,24,27,1962,12,1,raw:bst_649_1962.txt,12,,
223,,6,7,11,18,22,32,1962,13,1,raw:bst_649_1962.txt,13,,
224,,4,10,24,43,48,49,1962,14,1,raw:bst_649_1962.txt,14,,
225,,7,18,26,30,31,34,1962,15,1,raw:bst_649_1962.txt,15,,
226,,21,26,32,33,39,40,1962,16,1,raw:bst_649_1962.txt,16,,
227,,2,4,13,33,39,46,1962,17,1,raw:bst_649_1962.txt,17,,
228,,9,26,40,41,46,49,1962,18,1,raw:bst_649_1962.txt,18,,
229,,5,9,16,27,42,47,1962,19,1,raw:bst_649_1962.txt,19,,
230,,3,14,22,28,34,42,1962,20,1,raw:bst_649_1962.txt,20,,
231,,8,16,21,39,43,45,1962,21,1,raw:bst_649_1962.txt,21,,
232,,6,13,20,21,29,41,1962,22,1,raw:bst_649_1962.txt,22,,
233,,1,3,4,11,34,36,1962,23,1,raw:bst_649_1962.txt,23,,
234,,1,19,21,25,29,45,1962,24,1,raw:bst_649_1962.txt,24,,
235,,24,25,26,28,34,37,1962,25,1,raw:bst_649_1962.txt,25,,
236,,6,28,29,33,36,44,1962,26,1,raw:bst_649_1962.txt,26,,
237,,3,7,13,25,26,42,1962,27,1,raw:bst_649_1962.txt,27,,
238,,4,9,17,22,24,37,1962,28,1,raw:bst_649_1962.txt,28,,
239,,5,20,28,39,42,46,1962,29,1,raw:bst_649_1962.txt,29,,
240,,1,6,12,17,31,38,1962,30,1,raw:bst_649_1962.txt,30,,
241,,7,13,23,26,44,46,1962,31,1,raw:bst_649_1962.txt,31,,
242,,4,12,14,17,19,46,1962,32,1,raw:bst_649_1962.txt,32,,
243,,7,9,28,33,42,48,1962,33,1,raw:bst_649_1962.txt,33,,
244,,13,17,20,31,39,47,1962,34,1,raw:bst_649_1962.txt,34,,
245,,2,4,8,38,42,49,1962,35,1,raw:bst_649_1962.txt,35,,
246,,13,16,25,30,31,41,1962,36,1,raw:bst_649_1962.txt,36,,
247,,9,10,28,30,33,35,1962,37,1,raw:bst_649_1962.txt,37,,
248,,6,8,18,32,42,44,1962,38,1,raw:bst_649_1962.txt,38,,
249,,4,16,19,22,47,48,1962,39,1,raw:bst_649_1962.txt,39,,
250,,6,7,13,20,22,31,1962,40,1,raw:bst_649_1962.txt,40,,
251,,2,6,12,22,34,42,1962,41,1,raw:bst_649_1962.txt,41,,
252,,13,15,20,31,36,45,1962,42,1,raw:bst_649_1962.txt,42,,
253,,11,16,20,23,42,49,1962,43,1,raw:bst_649_1962.txt,43,,
254,,4,11,12,36,38,47,1962,44,1,raw:bst_649_1962.txt,44,,
255,,1,12,24,34,43,48,1962,45,1,raw:bst_649_1962.txt,45,,
256,,1,14,15,29,44,47,1962,46,1,raw:bst_649_1962.txt,46,,
257,,1,11,12,28,36,45,1962,47,1,raw:bst_649_1962.txt,47,,
258,,16,18,23,29,37,48,1962,48,1,raw:bst_649_1962.txt,48,,
259,,12,24,27,30,34,49,1962,49,1,raw:bst_649_1962.txt,49,,
260,,5,9,12,23,24,28,1962,50,1,raw:bst_649_1962.txt,50,,
261,,2,20,25,26,38,42,1962,51,1,raw:bst_649_1962.txt,51,,
262,,13,34,41,43,46,49,1962,52,1,raw:bst_649_1962.txt,52,,
263,,3,4,20,33,37,48,1962,601,1,raw:bst_649_1962.txt,601,,
264,,7,8,36,38,39,49,1963,1,1,raw:bst_649_1963.txt,1,,
265,,1,5,14,19,21,40,1963,2,1,raw:bst_649_1963.txt,2,,
266,,5,23,34,35,40,45,1963,3,1,raw:bst_649_1963.txt,3,,
267,,5,10,14,16,33,45,1963,4,1,raw:bst_649_1963.txt,4,,
268,,3,29,35,42,43,46,1963,5,1,raw:bst_649_1963.txt,5,,
269,,15,22,24,26,47,49,1963,6,1,raw:bst_649_1963.txt,6,,
270,,1,6,27,32,42,43,1963,7,1,raw:bst_649_1963.txt,7,,
271,,1,6,8,32,37,38,1963,8,1,raw:bst_649_1963.txt,8,,
272,,9,20,23,25,29,46,1963,9,1,raw:bst_649_1963.txt,9,,
273,,8,14,20,31,39,48,1963,10,1,raw:bst_649_1963.txt,10,,
274,,11,14,22,29,41,44,1963,11,1,raw:bst_649_1963.txt,11,,
